ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3177142.0,1664219.0,39.65539211,-104.87085222,,10025.0,,,E,Girard,Ave,,,Bldg,23,Unit,318,Unit,23-318,10025 E Girard Ave Bldg 23 Unit 318
S,3176445.0,1664130.0,39.65516206,-104.87332946,,9825.0,,,E,Girard,Ave,,,Bldg,14,Unit,344,Unit,14-344,9825 E Girard Ave Bldg 14 Unit 344
S,3176518.0,1664315.0,39.65566962,-104.87306887,,9825.0,,,E,Girard,Ave,,,Bldg,15,Unit,120,Unit,15-120,9825 E Girard Ave Bldg 15 Unit 120
S,3177490.0,1664406.0,39.65589994,-104.86961167,,10025.0,,,E,Girard,Ave,,,,,Bldg,4 Unit 240,Bldg,4 Unit 240,10025 E Girard Ave Bldg 4 Unit 240
S,3176574.0,1664035.0,39.65489859,-104.87287669,,9825.0,,,E,Girard,Ave,,,Bldg,22,Unit,313,Unit,22-313,9825 E Girard Ave Bldg 22 Unit 313
S,3144721.0,1704457.0,39.76641407,-104.98518737,,3063.0,,,N,Brighton,Blvd,,,,,Unit,631,Unit,631,3063 N Brighton Blvd Unit 631
S,3144573.0,1704391.0,39.76623623,-104.98571763,,3063.0,,,N,Brighton,Blvd,,,,,Unit,745,Unit,745,3063 N Brighton Blvd Unit 745
S,3144591.0,1704376.0,39.76619376,-104.98565217,,3063.0,,,N,Brighton,Blvd,,,,,Unit,643,Unit,643,3063 N Brighton Blvd Unit 643
S,3144854.0,1704325.0,39.76605064,-104.98471951,,3063.0,,,N,Brighton,Blvd,,,,,Unit,813,Unit,813,3063 N Brighton Blvd Unit 813
S,3144871.0,1704342.0,39.766097189999996,-104.98465795,,3063.0,,,N,Brighton,Blvd,,,,,Unit,615,Unit,615,3063 N Brighton Blvd Unit 615
S,3144740.0,1704207.0,39.76572963,-104.98512477,,3063.0,,,N,Brighton,Blvd,,,,,Unit,701,Unit,701,3063 N Brighton Blvd Unit 701
S,3144748.0,1704391.0,39.76623279,-104.98509328,,3063.0,,,N,Brighton,Blvd,,,,,Unit,625,Unit,625,3063 N Brighton Blvd Unit 625
S,3144871.0,1704341.0,39.76609505,-104.9846582,,3063.0,,,N,Brighton,Blvd,,,,,Unit,915,Unit,915,3063 N Brighton Blvd Unit 915
